generic_name,brand_names,strength,dosage_form,manufacturer,packageMark,indication,contraindication,side_effects
Aceclofenac,Acefenac,100 mg,Tablet,General Pharmaceuticals Ltd.,acefenactablet100-mg,,,
Aceclofenac,Acedol SR,200 mg,Tablet (Sustained Release),Concord Pharmaceuticals Ltd.,acedol-srtablet-sustained-release200-mg,,,
Aceclofenac,Acedol,100 mg,Tablet,Concord Pharmaceuticals Ltd.,acedoltablet100-mg,,,
Aceclofenac,Acecol,100 mg,Tablet,Ziska Pharmaceuticals Ltd.,acecoltablet100-mg,,,
Aceclofenac,Aceclora,100 mg,Tablet,Marksman Pharmaceuticals Ltd.,acecloratablet100-mg,,,
Aceclofenac,Aceclofen,100 mg,Tablet,Astra Biopharmaceuticals Ltd.,aceclofentablet100-mg,,,
Aceclofenac,Aceclof,100 mg,Tablet,Premier Pharmaceuticals Ltd.,acecloftablet100-mg,,,
Aceclofenac,Ecena,100 mg,Tablet,Edruc Limited,ecenatablet100-mg,,,
Aceclofenac,Ectinac,100 mg,Tablet,United Pharmaceuticals Ltd.,ectinactablet100-mg,,,
Aceclofenac,Acebid,100 mg,Tablet,Beacon Pharmaceuticals Ltd.,acebidtablet100-mg,,,
Aceclofenac,Ena,100 mg,Tablet,Asiatic Laboratories Ltd.,enatablet100-mg,,,
Aceclofenac,AC PR,100 mg,Tablet,Pacific Pharmaceuticals Ltd.,ac-prtablet100-mg,,,
Aceclofenac,Exipain,100 mg,Tablet,Opso Saline Ltd.,exipaintablet100-mg,,,
Aceclofenac,Ezemove,100 mg,Tablet,Globex Pharmaceuticals Ltd.,ezemovetablet100-mg,,,
Aceclofenac,Fenacin,100 mg,Tablet,Nipa Pharmaceuticals Ltd.,fenacintablet100-mg,,,
Aceclofenac,A-Pak,100 mg,Tablet,Benham Pharmaceuticals Ltd.,a-paktablet100-mg,,,
Aceclofenac,Fixonac,100 mg,Tablet,Euro Pharma Ltd.,fixonactablet100-mg,,,
Aceclofenac,Flexivan ER,200 mg,Tablet (Extended Release),NIPRO JMI Pharma Ltd.,flexivan-ertablet-extended-release200-mg,,,
Aceclofenac,Flexivan,100 mg,Tablet,NIPRO JMI Pharma Ltd.,flexivantablet100-mg,,,
Aceclofenac,Flexidol,100 mg,Tablet,Jenphar Bangladesh Ltd.,flexidoltablet100-mg,,,
Aceclofenac,Flexi SR,200 mg,Tablet (Sustained Release),Square Pharmaceuticals Ltd.,flexi-srtablet-sustained-release200-mg,,,
Aceclofenac,Flexi,100 mg,Tablet,Square Pharmaceuticals Ltd.,flexitablet100-mg,,,
Aceclofenac,Fleco,100 mg,Tablet,Ad-din Pharmaceuticals Ltd.,flecotablet100-mg,,,
Aceclofenac,Freemax,100 mg,Tablet,Nuvista Pharma Ltd.,freemaxtablet100-mg,,,
Aceclofenac,Grofenac,100 mg,Tablet,Prime Pharmaceuticals Ltd.,grofenactablet100-mg,,,
Aceclofenac,Hifenac,100 mg,Tablet,Doctor TIMS Pharmaceuticals Ltd.,hifenactablet100-mg,,,
Aceclofenac,Intas,100 mg,Tablet,Virgo Pharmaceuticals Ltd.,intastablet100-mg,,,
Aceclofenac,Labenac SR,200 mg,Tablet (Sustained Release),Labaid Pharma Ltd.,labenac-srtablet-sustained-release200-mg,,,
Aceclofenac,Labenac,100 mg,Tablet,Labaid Pharma Ltd.,labenactablet100-mg,,,
Aceclofenac,Lofam,100 mg,Tablet,Millat Pharmaceuticals Ltd.,lofamtablet100-mg,,,
Aceclofenac,Lofens,100 mg,Tablet (Sustained Release),Zenith Pharmaceuticals Ltd.,lofenstablet-sustained-release100-mg,,,
Aceclofenac,Maxpain,100 mg,Tablet,Guardian Healthcare Ltd.,maxpaintablet100-mg,,,
Aceclofenac,Mervan SR,200 mg,Tablet (Sustained Release),Aristopharma Ltd.,mervan-srtablet-sustained-release200-mg,,,
Aceclofenac,Mervan,100 mg,Tablet,Aristopharma Ltd.,mervantablet100-mg,,,
Aceclofenac,Movex,100 mg,Tablet,Opsonin Pharma Ltd.,movextablet100-mg,,,
Aceclofenac,Motifen,100 mg,Tablet,Pharmadesh Laboratories Ltd.,motifentablet100-mg,,,
Aceclofenac,Movon,100 mg,Tablet,Hallmark Pharmaceuticals Ltd.,movontablet100-mg,,,
Aceclofenac,Movex SR,200 mg,Tablet (Sustained Release),Opsonin Pharma Ltd.,movex-srtablet-sustained-release200-mg,,,
Aceclofenac,Noak,100 mg,Tablet,Orion Pharma Ltd.,noaktablet100-mg,,,
Aceclofenac,Nofenac,100 mg,Tablet,Drug International Ltd.,nofenactablet100-mg,,,
Aceclofenac,Nostrin,100 mg,Tablet,Monicopharma Ltd.,nostrintablet100-mg,,,
Aceclofenac,Orcenac,100 mg,Tablet,Organic Health Care Ltd.,orcenactablet100-mg,,,
Aceclofenac,Orifen,100 mg,Tablet,Silva Pharmaceuticals Ltd.,orifentablet100-mg,,,
Aceclofenac,Ostoflex,100 mg,Tablet,Somatec Pharmaceuticals Ltd.,ostoflextablet100-mg,,,
Aceclofenac,Paino,100 mg,Tablet,Eskayef Pharmaceuticals Ltd.,painotablet100-mg,,,
Aceclofenac,Painkil,100 mg,Tablet,Veritas Pharmaceuticals Ltd.,painkiltablet100-mg,,,
Aceclofenac,Painex,100 mg,Tablet,Chemist Laboratories  Ltd.,painextablet100-mg,,,
Aceclofenac,Penac-AC,100 mg,Tablet,APC Pharma Ltd.,penac-actablet100-mg,,,
Aceclofenac,Polynac,100 mg,Tablet,Leon Pharmaceuticals Ltd.,polynactablet100-mg,,,
Aceclofenac,Ponos,100 mg,Tablet,One Pharma Ltd.,ponostablet100-mg,,,
Aceclofenac,Preservin SR,200 mg,Tablet (Sustained Release),Ibn Sina Pharmaceuticals Ltd.,preservin-srtablet-sustained-release200-mg,,,
Aceclofenac,Preservin,100 mg,Tablet,Ibn Sina Pharmaceuticals Ltd.,preservintablet100-mg,,,
Aceclofenac,Protilez,100 mg,Tablet,Reliance Pharmaceuticals Ltd.,protileztablet100-mg,,,
Aceclofenac,Qrip,100 mg,Tablet,Synovia pharma plc,qriptablet100-mg,,,
Aceclofenac,Relise,100 mg,Tablet,Indo Bangla Pharmaceutical,relisetablet100-mg,,,
Aceclofenac,Remave SR,200 mg,Tablet (Sustained Release),Innovative Pharma (Albion),remave-srtablet-sustained-release200-mg,,,
Aceclofenac,Repidor,100 mg,Tablet,Rephco Pharmaceuticals Ltd.,repidortablet100-mg,,,
Aceclofenac,Reservix SR,200 mg,Tablet (Sustained Release),Incepta Pharmaceuticals Ltd.,reservix-srtablet-sustained-release200-mg,,,
Aceclofenac,Reservix,100 mg,Tablet,Incepta Pharmaceuticals Ltd.,reservixtablet100-mg,,,
Aceclofenac,Rheuma,100 mg,Tablet,Mystic Pharmaceuticals Ltd.,rheumatablet100-mg,,,
Aceclofenac,Ruclon,100 mg,Tablet,Novus Pharmaceuticals Ltd.,ruclontablet100-mg,,,
Aceclofenac,Sapclo,100 mg,Tablet,Marker Pharma Ltd.,sapclotablet100-mg,,,
Aceclofenac,SB-Acelo,100 mg,Tablet,Sunman-Birdem Pharma Ltd.,sb-acelotablet100-mg,,,
Aceclofenac,Servex,100 mg,Tablet,Novo Healthcare and Pharma Ltd.,servextablet100-mg,,,
Aceclofenac,Silfenac,100 mg,Tablet,Silco Pharmaceutical Ltd.,silfenactablet100-mg,,,
Aceclofenac,Syclofen,100 mg,Tablet,MST Pharma,syclofentablet100-mg,,,
Aceclofenac,Tek,100 mg,Tablet,Team Pharmaceuticals Ltd.,tektablet100-mg,,,
Aceclofenac,Technofen,100 mg,Tablet,Techno Drugs Ltd.,technofentablet100-mg,,,
Aceclofenac,Ternilla,100 mg,Tablet,Healthcare Pharmaceuticals Ltd.,ternillatablet100-mg,,,
Aceclofenac,Vaxtin,100 mg,Tablet,SANDOZ (A Novartis Division),vaxtintablet100-mg,,,
Aceclofenac,Volfenac,100 mg,Tablet,S.N. Pharmaceutical Ltd.,volfenactablet100-mg,,,
Aceclofenac,Xa Fast,100 mg,Tablet,Desh Pharmaceuticals Ltd.,xa-fasttablet100-mg,,,
Aceclofenac,Xeriflam,100 mg,Tablet,Kumudini Pharma Ltd.,xeriflamtablet100-mg,,,
Aceclofenac,Xerifen,100 mg,Tablet,Peoples Pharma Ltd.,xerifentablet100-mg,,,
Aceclofenac,Xtrafen SR,200 mg,Tablet (Sustained Release),Delta Pharma Ltd.,xtrafen-srtablet-sustained-release200-mg,,,
Aceclofenac,Xtrafen,100 mg,Tablet,Delta Pharma Ltd.,xtrafentablet100-mg,,,
Aceclofenac,Xpain,100 mg,Tablet,Gaco Pharmaceuticals Ltd.,xpaintablet100-mg,,,
Aceclofenac,Xyfen,100 mg,Tablet,Supreme Pharmaceutical Ltd.,xyfentablet100-mg,,,
Aceclofenac,Zerodol,100 mg,Tablet,Navana Pharmaceuticals Ltd.,zerodoltablet100-mg,,,
Aceclofenac,Zolfin,100 mg,Tablet,Beximco Pharmaceuticals Ltd.,zolfintablet100-mg,,,
Aceclofenac,Zolonac,100 mg,Tablet,Sharif Pharmaceuticals Ltd.,zolonactablet100-mg,,,
Acemetacin,Tendonil,60 mg,Capsule,Orion Pharma Ltd.,tendonilcapsule60-mg,,,
Acetate Formulation [Hemodialysis Solution],Dialyte-AC,,Dialysis Solution,Popular Pharmaceuticals Ltd.,dialyte-acdialysis-solution,,,
Acetazolamide,Acemox,250 mg,Tablet,ACME Laboratories Ltd.,acemoxtablet250-mg,,,
Acetazolamide,Remox,250 mg,Tablet,Reman Drug Laboratories Ltd.,remoxtablet250-mg,,,
Acetylcysteine,Alistin DT,600 mg,Dispersible Tablet,Opsonin Pharma Ltd.,alistin-dtdispersible-tablet600-mg,,,
Acetylcysteine,Aceten,100 mg/sachet,Effervescent Granules,Eskayef Pharmaceuticals Ltd.,aceteneffervescent-granules100-mgsachet,,,
Acetylcysteine,Aceten,600 mg,Effervescent Tablet,Eskayef Pharmaceuticals Ltd.,aceteneffervescent-tablet600-mg,,,
Acetylcysteine,Mukof,600 mg,Dispersible Tablet,Drug International Ltd.,mukofdispersible-tablet600-mg,,,
Acetylcysteine,Mucomist DT,600 mg,Dispersible Tablet,Beximco Pharmaceuticals Ltd.,mucomist-dtdispersible-tablet600-mg,,,
Acetylcysteine,Mucomist,600 mg/3 ml,Nebuliser Solution,Beximco Pharmaceuticals Ltd.,mucomistnebuliser-solution600-mg3-ml,,,
Acetylcysteine,Nacsol,600 mg,Effervescent Tablet,NIPRO JMI Pharma Ltd.,nacsoleffervescent-tablet600-mg,,,
Acetylcysteine,Tylace,600 mg,Effervescent Tablet,Square Pharmaceuticals Ltd.,tylaceeffervescent-tablet600-mg,,,
Acetylcysteine,Viscotin,600 mg/3 ml,Nebuliser Solution,UniMed UniHealth,viscotinnebuliser-solution600-mg3-ml,,,
Acetylcysteine,Viscotin,600 mg,Effervescent Tablet,UniMed UniHealth,viscotineffervescent-tablet600-mg,,,
Acetylcysteine,Viscotin,200 mg/sachet,Effervescent Granules,UniMed UniHealth,viscotineffervescent-granules200-mgsachet,,,
Acetylcysteine,Viscotin,100 mg/sachet,Effervescent Granules,UniMed UniHealth,viscotineffervescent-granules100-mgsachet,,,
Acidic component [HCO3 Hemodialysis Solution],Dialyte-A,,Dialysis Solution,Popular Pharmaceuticals Ltd.,dialyte-adialysis-solution,,,
Acidic component [HCO3 Hemodialysis Solution],Hemosol-A,,Dialysis Solution,Square Pharmaceuticals Ltd.,hemosol-adialysis-solution,,,
Acidic component [HCO3 Hemodialysis Solution],Renalaid-A,,Dialysis Solution,Labaid Pharma Ltd.,renalaid-adialysis-solution,,,
Acitretin,Soritec,25 mg,Capsule,ACI Limited,soriteccapsule25-mg,,,
Acitretin,Soritec,10 mg,Capsule,ACI Limited,soriteccapsule10-mg,,,
Acitretin,Soricap,25 mg,Capsule,UniMed UniHealth,soricapcapsule25-mg,,,
Acitretin,Soricap,10 mg,Capsule,UniMed UniHealth,soricapcapsule10-mg,,,
Aclidinium Bromide + Formoterol Fumarate,Aclitol,400 mcg+12 mcg,Inhalation Capsule,Square Pharmaceuticals Ltd.,aclitolinhalation-capsule400-mcg12-mcg,,,
Activated Charcoal,Ultracarbon,250 mg,Tablet,Merck,ultracarbontablet250-mg,,,
Acyclovir (Injection),Acyvir,500 mg/vial,IV Infusion,Aristopharma Ltd.,acyviriv-infusion500-mgvial,,,
Acyclovir (Injection),Acyvir,250 mg/vial,IV Infusion,Aristopharma Ltd.,acyviriv-infusion250-mgvial,,,
Acyclovir (Injection),Acerux,500 mg/vial,IV Infusion,Opsonin Pharma Ltd.,aceruxiv-infusion500-mgvial,,,
Acyclovir (Injection),Acerux,250 mg/vial,IV Infusion,Opsonin Pharma Ltd.,aceruxiv-infusion250-mgvial,,,
Acyclovir (Injection),Simplovir,1 gm/vial,IV Infusion,Incepta Pharmaceuticals Ltd.,simploviriv-infusion1-gmvial,,,
Acyclovir (Injection),Simplovir,500 mg/vial,IV Infusion,Incepta Pharmaceuticals Ltd.,simploviriv-infusion500-mgvial,,,
Acyclovir (Injection),Simplovir,250 mg/vial,IV Infusion,Incepta Pharmaceuticals Ltd.,simploviriv-infusion250-mgvial,,,
Acyclovir (Injection),Virux,500 mg/vial,IV Infusion,Square Pharmaceuticals Ltd.,viruxiv-infusion500-mgvial,,,
Acyclovir (Injection),Virunil,500 mg/vial,IV Infusion,Globe Pharmaceuticals Ltd.,viruniliv-infusion500-mgvial,,,
Acyclovir (Injection),Virunil,250 mg/vial,IV Infusion,Globe Pharmaceuticals Ltd.,viruniliv-infusion250-mgvial,,,
Acyclovir (Injection),Xovir,500 mg/vial,IV Infusion,Beacon Pharmaceuticals Ltd.,xoviriv-infusion500-mgvial,,,
Acyclovir (Injection),Xovir,250 mg/vial,IV Infusion,Beacon Pharmaceuticals Ltd.,xoviriv-infusion250-mgvial,,,
Acyclovir (Ophthalmic),Acyvir,3%,Ophthalmic Ointment,Aristopharma Ltd.,acyvirophthalmic-ointment3,,,
Acyclovir (Ophthalmic),Clovir,3%,Ophthalmic Ointment,Ibn Sina Pharmaceuticals Ltd.,clovirophthalmic-ointment3,,,
Acyclovir (Ophthalmic),Aciclon,3%,Ophthalmic Ointment,Reman Drug Laboratories Ltd.,aciclonophthalmic-ointment3,,,
Acyclovir (Ophthalmic),Cuvir,3%,Ophthalmic Ointment,General Pharmaceuticals Ltd.,cuvirophthalmic-ointment3,,,
Acyclovir (Ophthalmic),Cyclovex,3%,Ophthalmic Ointment,Opso Saline Ltd.,cyclovexophthalmic-ointment3,,,
Acyclovir (Ophthalmic),Acerux,3%,Ophthalmic Ointment,Opsonin Pharma Ltd.,aceruxophthalmic-ointment3,,,
Acyclovir (Ophthalmic),Optivir,3%,Ophthalmic Ointment,Biopharma Laboratories Ltd.,optivirophthalmic-ointment3,,,
Acyclovir (Ophthalmic),Sevirax,3%,Ophthalmic Ointment,Gaco Pharmaceuticals Ltd.,seviraxophthalmic-ointment3,,,
Acyclovir (Ophthalmic),Virine,3%,Ophthalmic Ointment,Nipa Pharmaceuticals Ltd.,virineophthalmic-ointment3,,,
Acyclovir (Ophthalmic),Virupos,3%,Ophthalmic Ointment,ZAS Corporation,viruposophthalmic-ointment3,,,
Acyclovir (Oral),Clovir,200 mg,Tablet,Ibn Sina Pharmaceuticals Ltd.,clovirtablet200-mg,,,
Acyclovir (Oral),Clovir,400 mg,Tablet,Ibn Sina Pharmaceuticals Ltd.,clovirtablet400-mg,,,
Acyclovir (Oral),Acerux,800 mg,Tablet,Opsonin Pharma Ltd.,aceruxtablet800-mg,,,
Acyclovir (Oral),Acerux,200 mg/5 ml,Oral Suspension,Opsonin Pharma Ltd.,aceruxoral-suspension200-mg5-ml,,,
Acyclovir (Oral),Acerux,400 mg,Tablet,Opsonin Pharma Ltd.,aceruxtablet400-mg,,,
Acyclovir (Oral),Acerux,200 mg,Tablet,Opsonin Pharma Ltd.,aceruxtablet200-mg,,,
Acyclovir (Oral),Novirax,400 mg,Tablet,Drug International Ltd.,noviraxtablet400-mg,,,
Acyclovir (Oral),Novirax,200 mg,Tablet,Drug International Ltd.,noviraxtablet200-mg,,,
Acyclovir (Oral),Simplovir,200 mg/5 ml,Oral Suspension,Incepta Pharmaceuticals Ltd.,simploviroral-suspension200-mg5-ml,,,
Acyclovir (Oral),Simplovir,400 mg,Tablet,Incepta Pharmaceuticals Ltd.,simplovirtablet400-mg,,,
Acyclovir (Oral),Simplovir,200 mg,Tablet,Incepta Pharmaceuticals Ltd.,simplovirtablet200-mg,,,
Acyclovir (Oral),Virux,200 mg,Tablet,Square Pharmaceuticals Ltd.,viruxtablet200-mg,,,
Acyclovir (Oral),Virux,200 mg/5 ml,Oral Suspension,Square Pharmaceuticals Ltd.,viruxoral-suspension200-mg5-ml,,,
Acyclovir (Oral),Viroxi,200 mg,Tablet,Eskayef Pharmaceuticals Ltd.,viroxitablet200-mg,,,
Acyclovir (Oral),Virux,400 mg,Tablet,Square Pharmaceuticals Ltd.,viruxtablet400-mg,,,
Acyclovir (Oral),Xovir,400 mg,Tablet,Beacon Pharmaceuticals Ltd.,xovirtablet400-mg,,,
Acyclovir (Oral),Xovir,200 mg,Tablet,Beacon Pharmaceuticals Ltd.,xovirtablet200-mg,,,
Acyclovir (Oral),Xovir,200 mg/5 ml,Oral Suspension,Beacon Pharmaceuticals Ltd.,xoviroral-suspension200-mg5-ml,,,
Acyclovir (Topical),Clovir,5% w/w,Cream,Ibn Sina Pharmaceuticals Ltd.,clovircream5-ww,,,
Acyclovir (Topical),Acerux,5% w/w,Cream,Opsonin Pharma Ltd.,aceruxcream5-ww,,,
Acyclovir (Topical),Novirax,5% w/w,Cream,Drug International Ltd.,noviraxcream5-ww,,,
Acyclovir (Topical),Simplovir,5% w/w,Cream,Incepta Pharmaceuticals Ltd.,simplovircream5-ww,,,
Acyclovir (Topical),Virux,5% w/w,Cream,Square Pharmaceuticals Ltd.,viruxcream5-ww,,,
Acyclovir + Hydrocortisone,Acerux-H,5%+1%,Cream,Opsonin Pharma Ltd.,acerux-hcream51,,,
Acyclovir + Hydrocortisone,Novirax HC,5%+1%,Cream,Drug International Ltd.,novirax-hccream51,,,
Acyclovir + Hydrocortisone,Virux-HC,5%+1%,Cream,Square Pharmaceuticals Ltd.,virux-hccream51,,,
Adalimumab,Advixa,40 mg/0.8 ml,SC Injection,Incepta Pharmaceuticals Ltd.,advixasc-injection40-mg08-ml,,,
Adalimumab,Adalimab,40 mg/0.8 ml,SC Injection,Healthcare Pharmaceuticals Ltd.,adalimabsc-injection40-mg08-ml,,,
Adapalene,Adgar,0.30%,Gel,ACI Limited,adgargel03,,,
Adapalene,Adgar,0.10%,Gel,ACI Limited,adgargel01,,,
Adapalene,Adapel,0.10%,Cream,Healthcare Pharmaceuticals Ltd.,adapelcream01,,,
Adapalene,Apalene,0.10%,Cream,Incepta Pharmaceuticals Ltd.,apalenecream01,,,
Adapalene,Aclene,0.10%,Cream,Drug International Ltd.,aclenecream01,,,
Adapalene,Fona,0.30%,Gel,Square Pharmaceuticals Ltd.,fonagel03,,,
Adapalene,Fona,0.10%,Cream,Square Pharmaceuticals Ltd.,fonacream01,,,
Adapalene,Pimplex,0.10%,Cream,Biopharma Laboratories Ltd.,pimplexcream01,,,
Adapalene + Benzoyl peroxide,Adipal Plus,0.1%+2.5%,Gel,Guardian Healthcare Ltd.,adipal-plusgel0125,,,
Adapalene + Benzoyl peroxide,Adagel Plus,0.1%+2.5%,Gel,UniMed UniHealth,adagel-plusgel0125,,,
Adapalene + Benzoyl peroxide,Adaben Duo,0.1%+2.5%,Gel,Incepta Pharmaceuticals Ltd.,adaben-duogel0125,,,
Adapalene + Benzoyl peroxide,Acnegel,0.1%+2.5%,Gel,ACME Laboratories Ltd.,acnegelgel0125,,,
Adapalene + Benzoyl peroxide,Aclene Plus,0.1%+2.5%,Gel,Drug International Ltd.,aclene-plusgel0125,,,
Adapalene + Benzoyl peroxide,Fona Plus,0.1%+2.5%,Gel,Square Pharmaceuticals Ltd.,fona-plusgel0125,,,
Adapalene + Benzoyl peroxide,Freshlook,0.1%+2.5%,Gel,Ziska Pharmaceuticals Ltd.,freshlookgel0125,,,
Adapalene + Benzoyl peroxide,Nomark,0.1%+2.5%,Gel,Opsonin Pharma Ltd.,nomarkgel0125,,,
Adefovir Dipivoxil,Adfovir,10 mg,Tablet,Sun Pharmaceutical Ltd.,adfovirtablet10-mg,,,
Adefovir Dipivoxil,Antiva,10 mg,Tablet,Square Pharmaceuticals Ltd.,antivatablet10-mg,,,
Adefovir Dipivoxil,Infovir,10 mg,Tablet,Incepta Pharmaceuticals Ltd.,infovirtablet10-mg,,,
Adefovir Dipivoxil,Rezoven,10 mg,Tablet,Beximco Pharmaceuticals Ltd.,rezoventablet10-mg,,,
Adenosine,Adecard,6 mg/2 ml,IV Injection,Popular Pharmaceuticals Ltd.,adecardiv-injection6-mg2-ml,,,
Adhatoda vasica + Centella asiatica,Madhuvas,(5 gm+20 gm)/100 ml,Syrup,Drug International Ltd.,madhuvassyrup5-gm20-gm100-ml,,,
Adrenaline,Adrinor,1 mg/ml,Injection,Incepta Pharmaceuticals Ltd.,adrinorinjection1-mgml,,,
Adrenaline,Adrin,1 mg/ml,Injection,Gaco Pharmaceuticals Ltd.,adrininjection1-mgml,,,
Adrenaline,Adrenaline,1 mg/ml,Injection,Techno Drugs Ltd.,adrenalineinjection1-mgml,,,
Adsorbed Tetanus Vaccine,TT vax,40 IU/0.5 ml,IM Injection,Popular Pharmaceuticals Ltd.,tt-vaxim-injection40-iu05-ml,,,
Adsorbed Tetanus Vaccine,Vaxitet,40 IU/0.5 ml,IM Injection,Incepta Pharmaceuticals Ltd.,vaxitetim-injection40-iu05-ml,,,
Afatinib Dimaleate,Afatin,40 mg,Tablet,Beacon Pharmaceuticals Ltd.,afatintablet40-mg,,,
Afatinib Dimaleate,Anib,40 mg,Tablet,Drug International Ltd.,anibtablet40-mg,,,
Afatinib Dimaleate,Atanib,40 mg,Tablet,Aristopharma Ltd.,atanibtablet40-mg,,,
Aflibercept,Zaltrap,100 mg/4 ml,IV Infusion,Genzyme Corporation,zaltrapiv-infusion100-mg4-ml,,,
Agomelatine,Agotin,25 mg,Tablet,Beacon Pharmaceuticals Ltd.,agotintablet25-mg,,,
Agomelatine,Agorest,25 mg,Tablet,Everest Pharmaceuticals Ltd.,agoresttablet25-mg,,,
Albendazole,Adze,400 mg,Chewable Tablet,Kemiko Pharmaceuticals Ltd.,adzechewable-tablet400-mg,,,
Albendazole,AL-DS,400 mg,Chewable Tablet,Globe Pharmaceuticals Ltd.,al-dschewable-tablet400-mg,,,
